,AXP,BA,CAT,CVX,DIS,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,PFE,PG,TRV,RTX,WBA,WMT,XOM
50,8.14293384552002,15.166666984558105,7.140625,13.1875,6.4533538818359375,14.280592918395996,0.8203129768371582,5.671875,12.041666984558105,3.203125,6.421875,16.75,10.337149620056152,2.2730870246887207,5.78125,12.125,3.5792949199676514,2.21875,4.0625,10.96875
51,8.368232727050781,16.86111068725586,7.5625,13.5625,6.997983932495117,15.356119155883789,0.90625,6.007812976837158,12.0,3.390625,6.875,17.875,10.854007720947266,2.4460389614105225,5.976562976837158,12.625,4.090622901916504,2.40625,4.5,10.78125
52,8.336047172546387,17.86111068725586,7.984375,13.8125,7.645374774932861,14.6988525390625,1.015625,6.171875,11.791666984558105,3.609375,7.453125,18.1875,11.032919883728027,2.4114480018615723,6.421875,12.625,4.041457176208496,2.601562976837158,4.734375,10.78125
53,8.561346054077148,16.0,7.25,13.5,7.778964042663574,14.489723205566406,0.90625,5.984375,11.958333015441895,3.523437976837158,7.3125,17.8125,10.635336875915527,2.2681450843811035,6.773437976837158,13.25,3.952958106994629,2.648437976837158,4.765625,11.0
54,9.59128189086914,17.458332061767578,7.421875,13.625,8.837395668029785,15.6847505569458,0.953125,6.671875,12.958333015441895,4.25,7.78125,19.0,12.086514472961426,2.5695760250091553,7.460937976837158,14.875,4.316786766052246,3.09375,5.40625,11.4375
55,9.559097290039062,18.25,8.03125,14.0625,9.659479141235352,16.849903106689453,0.9375,6.546875,12.708333015441895,4.15625,7.21875,19.75,11.669052124023438,2.7375869750976562,8.03125,14.9375,4.3856201171875,2.929687976837158,5.28125,10.9375
56,9.301612854003906,19.0,7.625,15.25,9.936931610107422,17.537046432495117,1.0078129768371582,6.84375,13.625,4.1875,7.4375,18.78125,12.04675579071045,2.7128798961639404,7.5,14.625,4.375786781311035,2.914062976837158,5.125,11.1875
57,9.365983963012695,18.75,7.15625,17.0625,10.18355655670166,19.09058380126953,1.0546879768371582,6.921875,11.208333015441895,4.523437976837158,7.75,17.90625,12.384700775146484,2.6733479499816895,8.070313453674316,14.875,4.198789119720459,2.703125,5.1875,11.5
58,9.140685081481934,20.0,7.328125,17.15625,10.604874610900879,20.673995971679688,1.0859379768371582,7.0625,10.583333015441895,4.828125,8.21875,19.25,12.543733596801758,2.930305004119873,8.09375,15.5625,4.070957183837891,2.78125,5.453125,11.8125
59,8.979757308959961,19.791667938232422,7.234375,16.9375,9.207332611083984,23.004301071166992,1.078125,7.421875,9.958333015441895,4.828125,8.625,19.90625,12.325063705444336,2.747469902038574,8.78125,14.78125,4.267621040344238,2.921875,5.609375,12.5
60,7.66015100479126,19.75,6.921875,16.71875,8.559943199157715,23.63169288635254,1.234375,6.546875,8.583333015441895,4.304687976837158,8.15625,19.53125,11.490139961242676,2.7079379558563232,8.0,13.4375,3.9234580993652344,2.585937976837158,5.328125,11.75
61,7.4992241859436035,21.291667938232422,7.578125,16.78125,9.001812934875488,23.66156768798828,1.2578129768371582,6.703125,8.541666984558105,4.40625,7.875,20.03125,10.873887062072754,2.3323850631713867,7.984375,15.125,4.021790027618408,2.539062976837158,5.5,11.75
62,6.630215167999268,23.916667938232422,7.640625,16.875,9.135400772094727,24.31883430480957,1.3046879768371582,7.015625,7.7916669845581055,4.671875,7.9375,20.34375,11.052799224853516,2.3966240882873535,8.46875,14.8125,4.503619194030762,2.65625,5.90625,11.5625
63,6.984255790710449,23.25,7.671875,16.46875,9.084020614624023,27.96367073059082,1.234375,7.078125,7.7916669845581055,4.765625,7.5625,19.84375,11.64917278289795,2.2434380054473877,8.828125,14.15625,4.326621055603027,2.625,6.203125,11.3125
64,7.531408786773682,27.458332061767578,8.375,17.5,10.604874610900879,26.589387893676758,1.5078129768371582,7.984375,9.125,5.640625,8.65625,20.65625,13.159987449645996,2.6041669845581055,10.328125,14.5625,4.611783981323242,2.921875,7.046875,12.0
65,7.917635917663574,29.25,6.578125,17.59375,10.543218612670898,28.740440368652344,1.46875,8.46875,8.5,5.546875,8.875,21.65625,13.796119689941406,2.5349860191345215,10.890625,14.375,4.503619194030762,3.101562976837158,7.796875,11.96875
66,7.4992241859436035,28.875,6.109375,19.84375,9.669754981994629,28.770315170288086,1.390625,8.828125,7.6666669845581055,5.671875,7.84375,22.59375,14.173823356628418,2.9945449829101562,10.84375,15.25,4.660950183868408,3.125,7.84375,12.96875
67,6.211803913116455,24.125,5.375,18.96875,8.416077613830566,28.561185836791992,1.042968988418579,8.203125,7.2083330154418945,5.28125,6.96875,19.6875,12.981075286865234,2.8067679405212402,9.625,14.0,3.844791889190674,2.851562976837158,7.125,12.5
68,5.4393510818481445,20.8125,5.28125,18.5,7.450129985809326,30.3238525390625,1.0390629768371582,7.90625,5.1666669845581055,4.9375,6.5,19.28125,12.106392860412598,2.791943073272705,9.109375,12.5,3.362963914871216,2.8125,6.8125,12.25
69,4.860012054443359,22.375,5.09375,17.03125,7.480957984924316,30.293977737426758,1.046875,8.046875,3.375,5.609375,6.3125,19.75,12.225667953491211,2.875948905944824,9.828125,12.84375,3.549794912338257,2.960937976837158,6.6875,12.25
70,5.27842378616333,22.125,5.140625,17.46875,8.1900053024292,28.053298950195312,1.171875,8.71875,3.7916669845581055,5.78125,7.03125,20.3125,13.71660327911377,3.192203998565674,10.359375,15.75,3.510462999343872,3.148437976837158,7.53125,12.65625
71,5.310608863830566,22.6875,5.875,18.15625,8.344145774841309,29.158700942993164,1.203125,8.96875,3.5833330154418945,5.8125,7.28125,21.4375,14.293098449707031,3.192203998565674,10.828125,15.6875,3.7661259174346924,3.210937976837158,7.5625,12.9375
72,5.857762813568115,24.6875,6.21875,17.84375,8.899051666259766,27.27652931213379,1.4296879768371582,9.5625,4.375,6.09375,7.125,21.21875,14.55152702331543,3.5529329776763916,9.90625,15.9375,3.7366271018981934,3.523437976837158,8.25,12.90625
73,6.179617881774902,24.125,6.828125,18.8125,10.14245319366455,26.35038185119629,1.4921879768371582,10.265625,5.5,6.546875,7.90625,22.125,16.241252899169922,4.150854110717773,10.15625,16.5625,3.9136250019073486,3.90625,8.84375,13.78125
